"paragraph","message","polarity_class","polarity_score","emotion"
"অথচ একটা কার্যকারী ওয়েবসাইট বা মোবাইল application বানাইয়া নিলেই এই মানুষ গুলার এত কষ্ট করতে হয় না ।সিন্ডিকেট টা দেশটা শেষ করে দিল।","","stronglyNegative",-0.9998623371124268,"{""neutral"":0.001373957609757781,""happy"":0.01007616426795721,""anger/disgust"":0.2589663863182068,""sadness"":0.965332567691803,""surprise"":0.007024386432021856,""fear"":0.022133847698569298}"
"অথচ এর চারভাগের এক ভাগ সময় ট্রেনে দাড়িয়ে থেকে বাড়ি চলে যাওয়া যায়।","","neutral",-0.19998385906219485,"{""neutral"":0.47400278,""happy"":0.0562608502805233,""anger/disgust"":0.016197673976421356,""sadness"":0.04868996515870094,""surprise"":0.5621485114097595,""fear"":0.01216572243720293}"
"অথচ তাকে দেখে মনে হচ্ছে সে একজন ফেরেস্তাদের কাতারের লোক। এইসব লেবাসধারীদের জন্য ইসলাম কলংকিত হচ্ছে। এদের ওপেন সুট করে দিলে কেউ আর এই কাজ করার সাহস পাবে না। সালা বাটপার।","","stronglyNegative",-0.9998749732971192,"{""neutral"":0.0013109578285366297,""happy"":0.006654905155301094,""anger/disgust"":0.9819282293319702,""sadness"":0.09610741585493088,""surprise"":0.006333184894174337,""fear"":0.00596106331795454}"
"অথচ সচ্ছলতার মাধ্যমে অনলাইনে টিকেট বুকিং এর ব্যবস্থা করা গেলে অনেক ভোগান্তি থেকে মুক্তি পেত এবং সময়গুলোকে কোনো প্রোডাক্টিভি কাজে লাগিয়ে দেশের জিডিপি বৃদ্ধিতে অবদান রাখতে পারত","","weaklyPositive",0.571948528289795,"{""neutral"":0.07944639027118683,""happy"":0.6828698515892029,""anger/disgust"":0.005292191635817289,""sadness"":0.6538490056991577,""surprise"":0.012979002669453621,""fear"":0.049601588398218155}"
"অনলাইন এ আবেদন করে নিলে ভালো হত,","","weaklyPositive",0.5974571704864503,"{""neutral"":0.9798544049263,""happy"":0.012278149835765362,""anger/disgust"":0.0011492945486679673,""sadness"":0.009023715741932392,""surprise"":0.00038380170008167624,""fear"":0.00087462313240394}"
"অনলাইন সিস্টেম আছে কিন্তু কাজ নেই অনলাইনে টিকিট পেলে মানুষের ভোগান্তি একেবারেই থাকবেনা","","weaklyNegative",-0.5979809284210205,"{""neutral"":0.18992140889167786,""happy"":0.1788983792066574,""anger/disgust"":0.0244207214564085,""sadness"":0.7935754656791687,""surprise"":0.02159591019153595,""fear"":0.053426921367645264}"
"অনলাইনে উধাও হতেই পারে, হাজার হাজার মানুষ ৮.০০ টার সময় মোবাইল হাতে নিয়ে অপেক্ষা করে অনলাইনের টিকিটের জন্য।","","weaklyNegative",-0.582628607749939,"{""neutral"":0.21734648942947388,""happy"":0.03169650211930275,""anger/disgust"":0.11423148214817047,""sadness"":0.4154355823993683,""surprise"":0.3880348205566406,""fear"":0.18367695808410645}"
"অনলাইনে কোনো টিকেট কেউ কিনতে পেরেছে বলে মনে হয় না।ফালতু সিস্টেম","","stronglyNegative",-0.9979253768920898,"{""neutral"":0.0005447929725050926,""happy"":0.0005147716146893799,""anger/disgust"":0.9945459365844727,""sadness"":0.05148879438638687,""surprise"":0.0027435380034148693,""fear"":0.0005617525894194841}"
"অনলাইনে সকাল ৮টা থেকে চেষ্টা শুরু করে ৯:৩০ পর একখানা টিকিট পেয়েছি। আহ স্বপ্নের টিকিট।","","stronglyPositive",0.9956604957580568,"{""neutral"":0.00391320651397109,""happy"":0.9935476183891296,""anger/disgust"":0.0014280762989073992,""sadness"":0.005012033972889185,""surprise"":0.07575124502182007,""fear"":0.0015980044845491648}"
"অনলাইনে সবার সুবিধা হতো ভোগান্তি কমে যেত😝","","weaklyPositive",0.5999591350555421,"{""neutral"":0.004514892585575581,""happy"":0.029770147055387497,""anger/disgust"":0.0008479119278490543,""sadness"":0.9906932711601257,""surprise"":0.0008192561799660325,""fear"":0.01676018536090851}"
"অনলাইনেও তো টিকেট দিচ্ছে। সবাই কাউন্টারে না গিয়ে অনলাইনেও ট্রাই করুন।","","weaklyPositive",0.5957004070281984,"{""neutral"":0.9853888154029846,""happy"":0.010550539009273052,""anger/disgust"":0.005260770209133625,""sadness"":0.002224480966106057,""surprise"":0.007999099791049957,""fear"":0.0021898450795561075}"
"অনলাইনের পিডিএফ কপি আর এনআইডি সাথে থাকলে আবার টিকেট কাটার কি দরকার?","","neutral",-0.19998109340667725,"{""neutral"":0.9989086389541626,""happy"":0.0001578153169248253,""anger/disgust"":0.0004297001287341118,""sadness"":0.0002931731869466603,""surprise"":0.0005212600226514041,""fear"":0.000363880128134042}"
