"paragraph","message","polarity_class","polarity_score","emotion"
"একটা পরিবার শেষ।","","stronglyNegative",-0.9970013618469238,"{""neutral"":0.00027077484992332757,""happy"":0.0010834768181666732,""anger/disgust"":0.005392638500779867,""sadness"":0.9987616539001465,""surprise"":0.0009712447645142674,""fear"":0.0026759339962154627}"
"একটা ফালতু ঘটনাকে কেন্দ্র করে একটা তাজা প্রাণ ঝরে গেল।","","stronglyNegative",-0.999851655960083,"{""neutral"":0.0005523383151739836,""happy"":0.0011277867015451193,""anger/disgust"":0.05245661363005638,""sadness"":0.985912024974823,""surprise"":0.005152930971235037,""fear"":0.011125794611871243}"
"একটা ভালো কাজ।","","weaklyPositive",0.5999213457107545,"{""neutral"":0.00012149183748988435,""happy"":0.9998243451118469,""anger/disgust"":0.00015774567145854235,""sadness"":0.0005171847296878695,""surprise"":0.0005807201378047466,""fear"":0.000016268970284727402}"
"একটাই গল্প মনে পড়ে ""কুমিরের লেজ খাজকাটা খাজকাটা খাজকাটা"" 😁বেচার বিএনপি !!","","neutral",-0.1538058638572693,"{""neutral"":0.08297239243984222,""happy"":0.010216944850981236,""anger/disgust"":0.9082473516464233,""sadness"":0.028958162292838097,""surprise"":0.028201809152960777,""fear"":0.0035613090731203556}"
"একটি দূষিত রাজনীতির বলি😂","","stronglyNegative",-0.9998542785644531,"{""neutral"":0.003713704412803054,""happy"":0.0033819698728621006,""anger/disgust"":0.12337058782577515,""sadness"":0.9388455748558044,""surprise"":0.008538059890270233,""fear"":0.011810265481472015}"
"একটি সুন্দর স্বপ্নের অপমৃত্য😭। মারামারি মানুষের জীবন কেড়ে নিতে পারে। কখনও শান্তি এনে দিতে পারে না। এই মৃত্যু র দায় কে নেবে ?","","stronglyNegative",-0.9986059665679932,"{""neutral"":0.004517012741416693,""happy"":0.004313528537750244,""anger/disgust"":0.08065884560346603,""sadness"":0.9204347729682922,""surprise"":0.016511311754584312,""fear"":0.4513365626335144}"
"একটি স্বপ্নের মৃত্যু ঘটেছেছেলেটির কোনো অভিভাবক নেই; না ঢাকা কলেজ, না নিউ মার্কেটের ব্যবসায়ী। ওর জন্য কেউ রাস্তায় গলা ফাটাবে না।আর হত্যার বিচার, সে তো অলীক ভাবনা!মাত্র ৬ মাস হয়েছে, বিয়ে করেছিল নাহিদ। নববধূ ডালিয়ার হাতের মেহেদির রং হয়তো মুছে যায়নি! কতো স্বপ্ন, আহ্লাদ নিমিষেই উড়ে গেল কর্পূরের মত।সংসার চালাতে বেছে নিয়েছিল কুরিয়ার সার্ভিসের ডেলিভারি ম্যানের কাজ। কামরাঙ্গীরচরে ছোট্ট এক রুমের মধ্যে সাজিয়েছিল সুখের সংসার!কিন্তু সব শেষ...হয়তো সব ঠিক হয়ে যাবে। ঢাকা কলেজ-নিউমার্কেট সম্পর্কও স্বাভাবিক হবে। কিন্তু নাহিদের বাবা-মা, প্রিয়তমা স্ত্রী এই ক্ষত বয়ে বেড়াবে আজীবন। নাহিদ হত্যায় অন্তত এক কোটি টাকা ক্ষতিপূরণ চাই.. রাষ্ট্রকে দিতে হবে!","","stronglyNegative",-0.9994422674179078,"{""neutral"":0.0016550038708373904,""happy"":0.01636265218257904,""anger/disgust"":0.06850220263004303,""sadness"":0.9795969724655151,""surprise"":0.03499475494027138,""fear"":0.08761046081781387}"
"একটু সাবধানে সামনে একটা সাইকেন আছে 🤫","","weaklyPositive",0.592815113067627,"{""neutral"":0.01651374250650406,""happy"":0.0032518852967768908,""anger/disgust"":0.003996224142611027,""sadness"":0.034206125885248184,""surprise"":0.009578678756952286,""fear"":0.9773803353309631}"
"একনাম্বারের বোকা এই ঢাকা কলেজের ছাত্ররা, কেননা ব্যাবসায়ীদের পক্ষ থেকে যারা হামলা করতেছে এরা একটাও ব্যাবসায়ি না, এদের দোকানে কাজ করা লেবার গুলা এই রকম হামলা করতেছে, আর দোকানের মালিক বা মুল ব্যাবসায়ী রা মোবাইলে ভিডিও দেখে মজা নিচ্ছে, নিরিহ ছাত্ররা মার খাচ্ছে, ব্যাবসায়িদের বাড়ি বাড়ি গিয়ে অদের ধরে নিয়ে আসুন","","stronglyNegative",-0.9998694896697998,"{""neutral"":0.003050451399758458,""happy"":0.006916393991559744,""anger/disgust"":0.9396539330482483,""sadness"":0.2085440307855606,""surprise"":0.015527698211371899,""fear"":0.06250973790884018}"
"একপাশে ব্যবসায়ীরা এবং পুলিশ। অন্যপাশে শিক্ষার্থীরা।শিক্ষার্থীদের পাশে কারা....?এদেশে শিক্ষা প্রতিষ্ঠান দরকার কি। সাত কলেজকে নিউমার্কেট বানিয়ে দিক","","weaklyNegative",-0.5990608930587769,"{""neutral"":0.0036182834301143885,""happy"":0.0014877418288961053,""anger/disgust"":0.9798442125320435,""sadness"":0.06391926854848862,""surprise"":0.006241966038942337,""fear"":0.0044454727321863174}"
