"paragraph","message","polarity_class","polarity_score","emotion"
"অত্যন্ত দুঃখজনক। সুশীল সমাজ কোথায়! বুদ্ধিজীবীরা কোথায়?","","stronglyNegative",-0.9864834547042847,"{""neutral"":0.0005713755963370204,""happy"":0.0008513096254318953,""anger/disgust"":0.0343066044151783,""sadness"":0.99446702003479,""surprise"":0.002185689751058817,""fear"":0.004444945137947798}"
"অথচ নিউমার্কেটে চাঁদা বাজদের ধরার কোন উদ্যেগ নাই😓🤕😪😙","","weaklyNegative",-0.5982068777084351,"{""neutral"":0.01973552443087101,""happy"":0.004979646299034357,""anger/disgust"":0.6835179328918457,""sadness"":0.408572256565094,""surprise"":0.029875675216317177,""fear"":0.04688311368227005}"
"অদ্ভুত উটের পিঠে চলছে স্বদেশ!","","stronglyNegative",-0.9999279260635376,"{""neutral"":0.02055451087653637,""happy"":0.00624212296679616,""anger/disgust"":0.013594592921435833,""sadness"":0.4285675585269928,""surprise"":0.772891640663147,""fear"":0.17158295214176178}"
"অধিকাংশ বাংলা পুলিশের আচরন যারা দিন মজুর তাদের চেয়েও খারাপ।। তার পেছনের কারন হল এসএসসি পাস কন্সটেবল আর তার পদোন্নতি ওসি পর্যন্ত।","","weaklyNegative",-0.5261810541152954,"{""neutral"":0.00047842541243880987,""happy"":0.0003597928734961897,""anger/disgust"":0.9395818114280701,""sadness"":0.5277761220932007,""surprise"":0.004267249722033739,""fear"":0.006009833887219429}"
"অনেক দিন পর","","neutral",-0.19847087860107424,"{""neutral"":0.5151721239089966,""happy"":0.24128377437591553,""anger/disgust"":0.0021317342761904,""sadness"":0.0289328433573246,""surprise"":0.000710735039319843,""fear"":0.0006229797145351768}"
"অনেক দিন পরে কথাটা শুনে ভালো লাগলো","","weaklyPositive",0.5999534130096437,"{""neutral"":0.00013273452350404114,""happy"":0.9998030066490173,""anger/disgust"":0.00014441634994000196,""sadness"":0.00023533275816589594,""surprise"":0.001807922380976379,""fear"":0.000018802405975293368}"
"অন্যতম প্রধান কারণ মোবাইল।","","stronglyNegative",-0.999430513381958,"{""neutral"":0.8703807592391968,""happy"":0.2007196992635727,""anger/disgust"":0.006940093822777271,""sadness"":0.011188598349690437,""surprise"":0.012057732790708542,""fear"":0.002311878139153123}"
"অন্যান্য সরকারের সময় সরকারি দলের লোকেরা মাঠ,কবরস্থান,স্কুল সহ বিভিন্ন সামজিক যায়গা দখল করত,এখন সরকার প্রশাসন করছে।","","stronglyNegative",-0.9999261140823364,"{""neutral"":0.015376375988125801,""happy"":0.0086061405017972,""anger/disgust"":0.9546378254890442,""sadness"":0.08499094098806381,""surprise"":0.015380687080323696,""fear"":0.015774408355355263}"
"অন্যায় ভাবে আটক করার জন্য কি পুলিশের কোন শাস্তি হবে না????","","stronglyNegative",-0.9972489595413208,"{""neutral"":0.007644050754606724,""happy"":0.0019036433659493923,""anger/disgust"":0.9603478908538818,""sadness"":0.05979699641466141,""surprise"":0.004673639312386513,""fear"":0.009368423372507095}"
"অন্যায়ের প্রতিবাদ করাই বড় অপরাধ এদেশে","","stronglyNegative",-0.9999395847320557,"{""neutral"":0.007516529876738787,""happy"":0.0007014283328317106,""anger/disgust"":0.6276214122772217,""sadness"":0.667711079120636,""surprise"":0.008770088665187359,""fear"":0.011928103864192963}"
